center,model,area_cm2,thickness_cm
Albacete,Attention_UNet,4.50790406162465,1.8545728291316526
Albacete,UNet,4.5849810924369745,1.9352170868347338
Albacete,UNetPlusPlus,4.563297619047619,1.9023809523809523
Barcelona,Attention_UNet,4.092888888888889,1.8505681818181818
Barcelona,UNet,4.043204545454545,1.8576843434343435
Barcelona,UNetPlusPlus,4.196148989898989,1.863709595959596
Caceres,Attention_UNet,4.807949886104784,1.9358610478359908
Caceres,UNet,4.923157175398633,1.997248291571754
Caceres,UNetPlusPlus,4.906945330296128,1.9823257403189065
Getafe,Attention_UNet,4.850325,1.6986750000000002
Getafe,UNet,5.0289125,1.8503250000000002
Getafe,UNetPlusPlus,4.908637499999999,1.6695375
Goya_Madrid,Attention_UNet,4.5195400696864105,1.8882508710801393
Goya_Madrid,UNet,5.044393728222996,2.167728222996516
Goya_Madrid,UNetPlusPlus,4.679205574912892,1.948595818815331
Guadalajara,Attention_UNet,3.6076464088397793,1.4739834254143647
Guadalajara,UNet,3.8534585635359115,1.498049723756906
Guadalajara,UNetPlusPlus,3.7036353591160216,1.4883812154696132
La_Paz,Attention_UNet,4.333082232011748,1.8139074889867841
La_Paz,UNet,4.658267254038179,1.9653259911894272
La_Paz,UNetPlusPlus,4.488055800293686,1.9279162995594714
Navarra,Attention_UNet,4.958277652370203,2.174318284424379
Navarra,UNet,5.1489164785553045,2.26210158013544
Navarra,UNetPlusPlus,5.026187358916479,2.1419683972911967
Salamanca,Attention_UNet,4.341095238095238,1.7388049155145928
Salamanca,UNet,4.382185867895545,1.7161105990783412
Salamanca,UNetPlusPlus,4.3949907834101385,1.7590568356374807
